acq_date,lat_bin,lon_bin,latitude,longitude,fire_count,avg_brightness,max_brightness,wind_speed,alert_flag,risk_level,probability,predicted_fire_next_day,advisory_score,advisory_level,review_flag,is_forecast,forecast_label
2026-04-17,38.7,-123.1,38.69923,-123.13464,1,331.29,331.29,2,0,High,0.0665469027659527,0,80,urgent_review,1,0,No
2026-04-17,38.7,-121.9,38.65911,-121.9043,1,317.34,317.34,2,0,Medium,0.0812564488379255,0,50,prepare,1,0,No
2026-04-17,38.9,-123.0,38.88768,-122.953195,2,330.45000000000005,330.73,2,0,High,0.2052315983101935,0,80,urgent_review,1,0,No
2026-04-17,38.9,-122.9,38.86985,-122.92398,1,333.1,333.1,5,0,High,0.1426070013797155,0,80,urgent_review,1,0,No
2026-04-17,39.2,-121.1,39.18155,-121.14724,1,338.95,338.95,3,0,High,0.3594547251546625,0,80,urgent_review,1,0,No
2026-04-17,39.4,-122.9,39.35076,-122.86853,1,333.56,333.56,1,0,High,0.0568337760057506,0,80,urgent_review,1,0,No
2026-04-17,39.4,-121.7,39.38797,-121.65102,1,337.27,337.27,3,0,High,0.3498382269407369,0,80,urgent_review,1,0,No
2026-04-17,39.4,-121.6,39.3886,-121.64632,1,334.5,334.5,3,0,High,0.2873568941832484,0,80,urgent_review,1,0,No
2026-04-17,39.6,-119.3,39.62034,-119.26393,1,295.1,295.1,0,0,Low,0.0052652285508285,0,20,monitor,0,0,No
2026-04-17,39.9,-122.1,39.891665,-122.078715,2,346.42499999999995,348.59,3,0,High,0.4457361237526209,0,80,urgent_review,1,0,No
2026-04-17,40.0,-123.4,40.043,-123.426445,2,331.525,335.65,7,0,High,0.1780493435061828,0,80,urgent_review,1,0,No
2026-04-17,40.2,-121.8,40.23936500000001,-121.76969,2,315.94500000000005,330.92,0,0,High,0.1203749232199727,0,80,urgent_review,1,0,No
2026-04-17,40.3,-123.6,40.3019,-123.61606,1,319.09,319.09,5,0,Medium,0.2140829127724304,0,50,prepare,1,0,No
2026-04-17,40.4,-123.8,40.44922,-123.77702,1,336.99,336.99,3,0,High,0.3498382269407369,0,80,urgent_review,1,0,No
2026-04-17,40.5,-123.8,40.478205,-123.776175,2,313.09000000000003,329.3,2,0,Medium,0.1156565149464509,0,50,prepare,1,0,No
2026-04-17,40.6,-122.5,40.55838,-122.46851,1,331.58,331.58,5,0,High,0.1335412080151949,0,80,urgent_review,1,0,No
2026-04-17,40.9,-123.8,40.9083,-123.77797,1,297.71,297.71,5,0,Low,0.3458615342266855,0,20,monitor,0,0,No
2026-04-17,41.4,-120.6,41.44239,-120.57232,1,333.05,333.05,2,0,High,0.0850351424755936,0,80,urgent_review,1,0,No
