latitude,longitude,bright_ti4,confidence,acq_date
33.3695,-117.39742,355.94,n,2026-04-18
37.68482,-121.1613,336.36,l,2026-04-18
38.63663,-122.69667,341.35,n,2026-04-18
38.88326,-122.88564,331.91,n,2026-04-18
39.38611,-122.2351,342.1,n,2026-04-18
39.38699,-122.23022,341.27,n,2026-04-18
39.49339,-122.09079,330.76,l,2026-04-18
39.49679,-122.0918,331.23,l,2026-04-18
40.23871,-121.76864,333.03,n,2026-04-18
40.51007,-124.2373,327.1,n,2026-04-18
